Transaction ID,Date,Account Number,Transaction Type,Amount,Currency
TXN001,2023-01-02,123456789,Deposit,1000.00,CHF
TXN002,2023-01-03,987654321,Withdrawal,-500.00,CHF
TXN003,2023-01-04,123456789,Transfer,-200.00,CHF
TXN004,2023-01-05,987654321,Deposit,2500.00,CHF
TXN005,2023-01-06,123456789,Withdrawal,-150.00,CHF
TXN006,2023-01-07,987654321,Transfer,-750.00,CHF
TXN007,2023-01-08,123456789,Deposit,3000.00,CHF
TXN008,2023-01-09,987654321,Withdrawal,-100.00,CHF
TXN009,2023-01-10,123456789,Transfer,-350.00,CHF
TXN010,2023-01-11,987654321,Deposit,4000.00,CHF
TXN011,2023-01-12,123456789,Deposit,500.00,CHF
TXN012,2023-01-13,987654321,Withdrawal,-200.00,CHF
TXN013,2023-01-14,123456789,Transfer,-1000.00,CHF
TXN014,2023-01-15,987654321,Deposit,1500.00,CHF
TXN015,2023-01-16,123456789,Withdrawal,-250.00,CHF
TXN016,2023-01-17,987654321,Transfer,-600.00,CHF
TXN017,2023-01-18,123456789,Deposit,2000.00,CHF
TXN018,2023-01-19,987654321,Withdrawal,-300.00,CHF
TXN019,2023-01-20,123456789,Transfer,-450.00,CHF
TXN020,2023-01-21,987654321,Deposit,3500.00,CHF
